title,description,bestsellers-rank,authors
Introduction To Modern Navigation Systems,"The emerging technology of very inexpensive inertial sensors is available for navigation as never before. The book lays the analytical foundation for understanding and implementing the navigation equations. It starts by demystifying the central theme of the frame rotation using such algorithms as the quaternions, the rotation vector and the Euler angles. After developing navigation equations, the book introduces the computational issues and discusses the physical aspects that are tied to implementing these equations. The book then explains alignment techniques.Introduction to Modern Navigation Systems offers an efficient algorithm for polar navigation. It also shows how to enhance the performance of the inertial system when aided by the Global Positioning System. It is an appropriate textbook for senior undergraduate and graduate students in aeronautical and electrical engineering. It could also be used as a reference book for practitioners in the field.",3666288.0,Patricia Rhodes
"Piezoelectric Shells : Sensing, Energy Harvesting, and Distributed Control-Second Edition","This book offers an introduction to piezoelectric shells and distributed sensing, energy harvesting and control applications. It familiarizes readers with a generic approach of piezoelectric shells and fundamental electromechanics of distributed piezoelectric sensors, energy harvesters and actuators applied to shell structures. The book is divided into two major parts, the first of which focuses on piezoelectric shell continua, while the second examines distributing sensing, energy harvesting and control of elastic continua, e.g., shells and plates.",3666177.0,Priase Alive
Spiritual Symbols : With their Meanings,"LThe Spiritual Symbols Non-fiction book goes back in time, exploring Neolithic wisdom, observing Neolithic Europe, from Neolithic Age towards ancient Europe, we find that the wisdom of the stones speaks to us through the art and through the music. The wisdom of Egyptians, Babylon practices, and Ancient Greece, all, have a unique spiritual connection with Art and Music. On a cross-road of the Gaia's existence, we have a unique opportunity to study / practice ancient spiritual growth / self-development practices from around the world. This exposure to the mix of East and West, South and North, gives us some very inspiring insights.",3665905.0,Linda Janes
"Physiological, Developmental and Behavioral Effects of Marine Pollution","Synthesizing decades of work, but up-to-date, this book focuses on organism-level responses to pollutants by marine animals, mainly crustaceans, molluscs, and fishes. Emphasizing effects on physiological processes (feeding/digestion, respiration, osmoregulation), life-cycle (reproduction [including endocrine disruption], embryo development, larval development, developmental processes later in life (growth, regeneration, molting, calcification, cancer), and behaviour, the book also covers bioaccumulation and detoxification of contaminants, and the development of tolerance. The major pollutants covered are metals, organic compounds (oil, pesticides, industrial chemicals), nutrients and hypoxia, contaminants of emerging concern, and ocean acidification. Some attention is also devoted to marine debris and noise pollution.",3665701.0,Sandra Breitenbach
"Jewish Life in Belarus : The Final Decade of the Stalin Regime, 1944-1953","Jewish life in Belarus after World War II was an inaccessible subject  -  officially regarded as being completely non-existent  -  and in the ideological atmosphere of the time research into the subject was impossible. Jewish community life had been wiped out by the Nazis, and its unreasonable attempt to come back to life was given short shrift by the communists. For more than half a century the truth about Jewish life during this period was sealed in archives to which researchers had no access. The Jews of Belarus preferred to keep silent rather than expose themselves to the spleen of the authorities. Although the fate of Belarusian Jews before and during the war has lately been amply studied, this book is one of the first attempts to study Jewish life in Belarus during the last decade of Stalin's rule. In addition to archival materials, the present research is based on data collected from a questionnaire submitted to Jews who had been residents of Belarus and are now citizens of Israel, as well as information from periodicals, collections of documents, statistical reports and monographs.",3665080.0,Maria C. Yang
The Real (Arab) World: v. 2,"This volume of TBS examines the most important trends and controversies in television journalism in the Arab world. Provocatively titled Reality TV in the Middle East, it includes articles by scholars Marc Lynch and Marwan Kreidy, as well as interviews with some of theArab media's leading figures. Featured here is a wide range of hot topics, including the question of anti-Americanism on Arab TV by William Rugh, Al Jazeera as an alternative media outlet by Adel Iskandar, and the impact of satellite TV in Iran by Yehia Kamalipour. Other contributors include Lawrence Pintak, Philip Seib, S. Abdallah Schleifer, Hugh Miles, and Kai Hafez.Published by the Adham Center for Television Journalism, the American University in Cairo and the Middle East Centre, St. Antony's College, University of Oxford.",3663012.0,Farhad Azad
Subsurface Ventilation and Environmental Engineering,"This book has been written as a reference and text for engineers, researchers, teachers and students who have an interest in the planning and control of the environment in underground openings. While directed primarily to underground mining operations, the design procedures are also applicable to other complex developments of subsurface space such as nuclear waste repositories, commercial accommodation or vehicular networks. The book will, therefore, be useful for mining, civil, mechanical, and heating, ventilating and air-conditioning engineers involved in such enterprises. The chapters on airborne pollutants highlight means of measurement and control as well as physiological reaction. These topics will be of particular interest to industrial hygienists and students of industrial medicine. One of the first technical applications of digital computers in the world's mining industries was for ventilation network analysis. This occurred during the early 1960s. However, it was not until low cost but powerful personal computers proliferated in engineering offices during the 1980s that the full impact of the computer revolution was realized in the day-to-day work of most mine ventilation engineers. This book reflects the changes in approach and design procedures that have been brought about by that revolution. While the book is organized into six parts, it encompasses three broad areas.",3662456.0,Serge Jurasunas
50 Years Of Technical Education In Singapore: How To Build A World Class Tvet System,"This book describes in vivid detail how a newly independent nation with neither a history of technical education nor industry, developed in a short period of time a world-class system of technical and vocational education that helped it make rapid progress in its manufacturing and industrial sector. The economy and the education sector both developed in parallel, with each complementing the other, utilizing strategies and making the decisions that were to bring the country quickly to advanced status.Studies show that premature investment in higher education at the expense of technical and vocational education has created many leaders but few doers, leading to high unemployment. The Singapore Technical Vocational Education and Training (TVET) story demonstrates how governmental support helped changed the image of technical and vocational education to one equal with higher education, yet including bridges and ladders to allow everyone to maximize their potential.",3662060.0,Carol J. Sulcoski
The Coptic Orthodox Liturgy of St. Basil,"The Liturgy of St. Basil is sung in the Coptic language, directly descended from the language of the pharaohs, and the melodies are also thought to have their roots in ancient Egypt. This set of four audio CDs has been produced to accompany the major publicationThe Coptic Orthodox Liturgy of St. Basil with Complete Musical Transcription(AUC Press, 1998), which provides fascinating documentation of this ancient tradition. The three-hour liturgy is part of a unique musical tradition transmitted orally through some twenty centuries by generations of singers in Egypt's ancient Coptic Orthodox Church, and still used today. For these CDs, the liturgy was sung by Sadek Attallah, chief cantor of the Institute of Coptic Studies, Cairo, and recorded at the Institute of Coptic Studies under the supervision of Dr. Ragheb Moftah. This unique set of recordings will be of great value to Copts around the world, as well as to musicologists, ethnologists, and students of religious traditions.",3661992.0,Farhad Azad
Vegetarian Weight Loss : How to Achieve Healthy Living & Low Fat Lifestyle,"Want to lose those extra pounds and live a healthy lifestyle? Vegetarian Weight Loss is written for anyone who wants to lose weight fast while following one of the healthiest and easiest ways to eat! Not only will you start to feel great but you will be shedding all those unwanted pounds too! Most people, when they start to look at becoming a vegetarian can be slightly overwhelmed at all of the different information out there. Especially when it comes to losing weight and staying healthy at the same time! That is why I wrote this book. I wanted to clear up a lot of that confusion and give you a very simple, quick to read guide to losing weight from eating like a vegetarian. In ""Vegetarian Weight Loss"" you will discover: -How being vegetarian helps you lose weight - the scientific proof is all there, being vegetarian will make you lose weight! -The health benefits of the vegetarian diet - all the great things you can expect to experience with this fantastic way of eating -Vegetarian Sources Of Vitamins And Protein - this chapter is crucial if you are going to remain healthy whilst being a vegetarian! -Foods To Eat And Foods To Avoid - an easy to read guide of all the great foods you can eat, but also the ones that you should avoid! -Tips For Weight Loss Success - use my special tips to boost and accelerate your weight loss and good health! -50 delicious, mind blowing Vegetarian Weight Loss Recipes - all my very best vegetarian recipes to help you lose weight! -And much more... The Vegetarian Weight Loss diet is really simple and fun to follow, whether you go vegan or vegetarian your body will experience a complete transformation! This book is pure cutting-edge content from someone who has spent the past 3 years and thousands of hours of research testing and refining what really works to bring you only the best of the best recipes, methods, and weight loss tips.",3661950.0,Andreas D. Katsambas
French Faience : The Sidney R. Knafel Collection,"- The most important collection of Ceramics in America - Published to accompany an exhibition at the Frick Museum The Sidney R. Knafel Collection of French Faïence features a broad collection of over 150 pieces of grand feu (high fired) French faïence principally from the factories of Nevers, Rouen, Marseilles, Moustiers, Moulins, and Lyon, ranging from 1580 to 1780. Amassed over the past fifty years, this exceptional collection encompasses an engaging variety of the most important faïence centers of this creative period, representing many unique styles. It reveals the full development of the ""French style,"" derived from Italian origins. With introductions, essays, and entries in both English and French contributed by curators, scholars, and dealers in the field, this catalogue strives to generate an increased awareness of faïence in the US. This impressive collection is a rarity in private hands and is not often deeply collected nor displayed by museums. Text in English and French.",3661410.0,Kindalee Pfremmer De Long
Feng Shui del cuerpo/ Feng Shui for the Body : Autoconocimiento Y Salud/ Health and Self-awareness,All our books are brand new. We ship worldwide,3661343.0,Marc Freeman
New Theory of Children's Thinking Development: Application in Language Teaching,"This book proposes a new theory on children's thinking (cognitive) development. According to this theory, the stages of said development should be divided into four stages: first, the stage of animalistic thinking (birth-before possessing basic language ability); second, the stage of elementary thinking (beginning to possess basic language ability-beginning to possess proficient oral ability); third, the stage of intermediate thinking (beginning to possess proficient oral ability-before the formation of comprehensive cognitive ability); and fourth, the stage of advanced thinking (after the formation of comprehensive cognitive ability). In this context, thinking includes logical thinking, visual thinking and intuitive thinking. Based on the new theory, the author points out the serious negative impact that Piaget's stage theory of children's cognitive development has had on Chinese language education in China. The book also offers a number of practical principles, such as five teaching activities for language teaching of extension, typing, writing, passage, and thinking.",3660996.0,Brian Widdop
Cases of Mathematics Professional Development in East Asian Countries : Using Video to Support Grounded Analysis,"This book shows how video technology can be used to inform teachers' personal practice, and provides new data and real-world case studies not covered by any previous book on the subject.",3660979.0,Christopher Ecclestone
"Future Arabian Gulf Energy Sources : Hydrocarbon, Nuclear or Renewable?","The Gulf Cooperation Council (GCC) countries urgently need a dramatic increase in electricity production to support rapid economic and social development in the coming decades. Yet, the populations of the GCC countries are among the highest users of energy in the world today, due to the harsh climate and to inefficiencies in transmission and consumption. In this volume, experts discuss the future composition of the Gulf energy sector, the challenges faced in meeting growing energy requirements, the need for greater energy conservation, and ways of reducing the anticipated surge in demand. The region will depend on a variety of energy sources, including alternatives such as renewable energy, and nuclear energy -- which, in a vitally important region such as the Gulf, will have technical, geopolitical and strategic concerns that must be addressed.",3660299.0,Robin Kingsley
Learning Diversity in the Chinese Classroom - Contexts and Practice for Students with Special Needs,"A unique feature of Learning Diversity in the Chinese Classroom is its Chinese context for meeting the educational requirements of children with special needs. At a time when many of the currently available texts in the area have a general perspective, Asian teachers and students have long felt the need for a text that specifically recognizes the local context. Learning Diversity in the Chinese Classroom notes that international trends, including those in many Southeast Asian countries are moving toward inclusive education and special needs, and includes chapters on giftedness, counseling and behavior management. Section 1 of the book describes the context of inclusive education in Asia. Summaries of the special features of the classroom in the region, the conceptions of inclusion and cultural diversity from the perspective of the Asian classroom, and how these are different to the Western classroom are provided. Section 2 focuses on various approaches to meeting the educational and socio-emotional needs of children in the inclusive classroom. The first part is concerned with theoretical underpinnings of the type of need, and the second part describes examples of how a teacher can cater for this type of diversity according to subject, including mathematics, Chinese, English, information technology, and arts. Section 3 widens the perspective and describes a whole-school approach to meeting the educational requirements of children with special needs. A systems approach is taken, whereby the success of the inclusive school is dependent on the functioning of a number of interrelated parts. This section draws from recent case studies which describe the approaches taken by a number of schools that have been successful in implementing inclusive education. Learning Diversity in the Chinese Classroom will appeal to teachers, parents, health professionals who are working with children with special educational needs.",3660237.0,Carey Pietsch
Dynamical Symmetry,"Whenever systems are governed by continuous chains of causes and effects, their behavior exhibits the consequences of dynamical symmetries, many of them far from obvious. Dynamical Symmetry introduces the reader to Sophus Lie's discoveries of the connections between differential equations and continuous groups that underlie this observation. It develops and applies the mathematical relations between dynamics and geometry that result. Systematic methods for uncovering dynamical symmetries are described, and put to use. Much material in the book is new and some has only recently appeared in research journals.Though Lie groups play a key role in elementary particle physics, their connection with differential equations is more often exploited in applied mathematics and engineering. Dynamical Symmetry bridges this gap in a novel manner designed to help readers establish new connections in their own areas of interest. Emphasis is placed on applications to physics and chemistry. Applications to many of the other sciences illustrate both general principles and the ubiquitousness of dynamical symmetries.",3660218.0,Eric Lindros
Speakeasy : Oral Presentation Skills in English,,3660194.0,Tierra B. Tivis
Some Industrial Chemicals : IARC Monographs on the Evaluation of Carcinogenic Risks to Humans,"This volume of the IARC Monographs provides evaluations of the carcinogenicity of: N, N-dimethylformamide, a solvent produced in high volumes and commonly used in many industrial processes; 2-mercaptobenzothiazole, a rubber accelerant and preservative; the rocket fuel hydrazine; the widely used fire retardant tetrabromobisphenol A; 1-bromopropane, a solvent used in dry cleaning, degreasing and adhesive resins; the seed fumigant 3-chloro-2-methylpropene; and N, N-dimethyl-p-toluidine, a hardening agent in dental and bone adhesives. Exposure to all seven agents considered may occur in the general population as well as in different occupational settings. An IARC Monographs Working Group reviewed epidemiological evidence, animal bioassays, and mechanistic and other relevant data to reach conclusions as to the carcinogenic hazard to humans of environmental or occupational exposure to these agents.",3660095.0,Epicurus
Red Meat and Processed Meat : IARC Monographs on the Evaluation of Carcinogenic Risks to Humans,"This volume of the IARC Monographs provides evaluations of the consumption of red meat and the consumption of processed meat. Red meat refers to unprocessed mammalian muscle meat (e.g. beef, veal, pork, lamb) including that which may be minced or frozen. Processed meat refers to meat that has been transformed through salting, curing, fermentation, smoking or other processes to enhance flavor or improve preservation. Most processed meats contain pork or beef, but may also contain other meats including poultry and offal (e.g. liver) or meat by-products such as blood. Red meat contains proteins of high biological value, and important micronutrients such as B vitamins, iron (both free iron and haem iron), and zinc. Carcinogens, including heterocyclic aromatic amines and polycyclic aromatic hydrocarbons, can be produced by cooking of meat, with greatest amounts generated at high temperatures by pan-frying, grilling, or barbecuing. Meat processing such as curing and smoking can result in formation of carcinogenic chemicals including N-nitroso compounds and polycyclic aromatic hydrocarbons. An IARC Monographs Working Group reviewed epidemiological evidence, animal bioassays, and mechanistic and other relevant data to reach conclusions as to the carcinogenic hazard to humans of the consumption of red meat and processed meat. The Working Group assessed more than 800 epidemiological studies that investigated the association of cancer (more than 15 types) with consumption of red meat or processed meat, including large cohorts in many countries, from several continents, with diverse ethnicities and diets.",3660094.0,Epicurus
Chinese International Students' Stressors and Coping Strategies in the United States,"This book explores how Chinese students abroad may suffer stress, and how they conceptualize and adapt to stress in the American higher education environment. To do so, it adopts a mixed methods design: the sequential explanatory design, which is characterized by the collection and analysis of quantitative data followed by the collection and analysis of qualitative data.  To date, no empirical research has focused solely upon understanding the stress and coping processes of Chinese students in the United States. This book addresses that gap, enriching the body of literature on international students' adaptation process in foreign countries.",3659809.0,Christian Lund
Practical Approach to Peripheral Arterial Chronic Total Occlusions,"A practical, highly illustrative and easy to read reference for interventional cardiologists, vascular surgeons, cardiac/endovascular catheterization laboratory personnel, interventional radiologists, technical staff, industry professionals, investigators, and researchers on peripheral arterial CTO interventions. Peripheral CTO lesions are present in nearly 50% of all peripheral arterial disease (PAD) endovascular interventions. There is tremendous growth in the performance and learning of peripheral arterial CTO procedures. There are several ongoing physician courses and many others that are being prepared; however, there is a significant lack of standardized selection, strategies, techniques and equipment necessary to achieve a high degree of reproducible success with low complication rates during the performance of these complex and technically challenging endovascular procedures.",3659803.0,John Byers
Combined Scintigraphic and Radiographic Diagnosis of Bone and Joint Diseases : Including Gamma Correction Interpretation,"In the fifth edition of this highly successful book, the author once again aims to equip the reader with up-to-date information that will facilitate accurate diagnosis of bone and joint diseases by means of combined use of scintigraphy and radiology. Two entirely new chapters have been added, one on the use of 18F-NaF PET/CT and the other on gamma correction scan diagnosis of bone trabecular microfracture and microcontusion as well as bone edema and hemorrhage. Further topics covered for the first time include enthesopathies, myositis, soft tissue diseases, cryptic bones, and differential diagnosis. Individual chapters have been updated and rearranged to reflect the latest advances in imaging diagnosis. As before, a vast number of state of the art gamma correction pinhole bone scans and corroborative conventional radiographs and CT, MRI, and/or ultrasound images are presented side by side. In this new edition, extension of the application of gamma correction to other imaging methods such as MRI and CT and the solution of the halation problem are necessarily addressed. This fifth edition of Combined Scintigraphic and Radiographic Diagnosis of Bone and Joint Diseases will be essential reading for practitioners and researchers in nuclear medicine, radiology, orthopedic surgery, pathology, anatomy, and imaging sciences at large.",3659789.0,Jeffrey T Mitchell
Between the Eye and the World : The Emergence of the Point-of-View Shot,"The point-of-view shot is usually perceived as a «natural» device, yet its naturalness is illusory. This book provides an answer to the question: «Where does the point-of-view shot come from?» It investigates the emergence of this filmic form as the product of a culture and its history, unravelling the difference between a point-of-view shot and a character's subjective viewpoint. In so doing, it shows that what would become the point-of-view shot developed from the interposition, between the eye and the world, of a prosthesis capable of modifying the conditions needed to access the visible, and thus to expand the potential of human vision. Moreover, the book offers inspiration for further research on modern (and postmodern) vision as a mediated vision, an important topic in contemporary debates in the digital media landscape.",3659758.0,Thomas V. Inglesby
Edusemiotics - A Handbook,"Edusemiotics is a pioneering area of study that connects semiotics - the science of signs - with educational theory and the philosophy of education. This volume reflects cutting-edge research by scholars in education and in semiotics worldwide, bridging the two discourses to present the state of the art in this new transdisciplinary field.",3659749.0,Andrew Flynn
Cochlear Implantation in Children with Inner Ear Malformation and Cochlear Nerve Deficiency,The purpose of this book is to contribute to basic and clinical medical research on cochlear implants for inner ear malformation and cochlear nerve deficiency.,3659744.0,Jenna Ruth
Bioregional Planning : Resource Management Beyond the New Millennium,"Presenting a pragmatic mixture of science, landscape ecology, ecosystem management, sociology, policy development and methods for transforming social and institutional cultures. Bioregional Planning: Resource Management Beyond the New Millennium is a timely and practical guide for the analysis, planning and development of bioregional projects for a sustainable future. Significantly, this book presents the strategic actions necessary to plan for, manage and adapt to Ecologically Sustainable Development with a view beyond the new millennium and towards the next.",3659395.0,Sarhad Y Jammo
